emp. [°C];Kin. Viscosity [mm²/s];Density [g/cm³];;;;
2;1.6736;0.9999;;;;
3;1.6191;1;;;;
4;1.5674;1;;;;
5;1.5182;1;;;;
6;1.4716;0.9999;;;;
7;1.4272;0.9999;;;;
8;1.3849;0.9999;;;;
9;1.3447;0.9998;;;;
10;1.3063;0.9997;;;;
11;1.2696;0.9996;;;;
12;1.2347;0.9995;;;;
13;1.2012;0.9994;;;;
14;1.1692;0.9992;;;;
15;1.1386;0.9991;;;;
16;1.1092;0.9989;;;;
17;1.0811;0.9988;;;;
18;1.0541;0.9986;;;;
19;1.0282;0.9984;;;;
20;1.0034;0.9982;;;;
21;0.9795;0.998;;;;
22;0.9565;0.9978;;;;
23;0.9344;0.9975;;;;
24;0.9131;0.9973;;;;
25;0.8926;0.997;;;;
26;0.8729;0.9968;;;;
27;0.8539;0.9965;;;;
28;0.8355;0.9962;;;;
29;0.8178;0.9959;;;;
30;0.8007;0.9956;;;;
31;0.7842;0.9953;;;;
32;0.7682;0.995;;;;
33;0.7528;0.9947;;;;
34;0.7379;0.9944;;;;
35;0.7234;0.994;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
